,nombre_atrezzo,categoria_atrezzo,seccion_atrezzo,descripcion_atrezzo,largo,ancho,alto,imagen_atrezzo
41,LAM31,Lámpara,Lámpara de mesa  Salón  ,Lámpara de mesa loza crema y flores,1,1,1,https://atrezzovazquez.es/admin/img_prod/LAM31/LAM31-720x540.png
42,FUM31,Artículos de fumador,Cenicero  ,Ceniceros cristal cuadrados,1,1,1,https://atrezzovazquez.es/admin/img_prod/FUM31/FUM31-720X540.png
43,M31,Mesa,,Mesa auxiliar de despacho oscura con cajón,76,41,67,https://atrezzovazquez.es/admin/img_prod/M31/M31-1-720x540.png
44,BAD31,Bandejas,,Bandejas plateadas grabadas antiguas con asas,1,1,1,https://atrezzovazquez.es/admin/img_prod/BAD31/BAD31-720x540.png
45,BYC31,Atrezzo de bar y cafetería,Bar y cafetería  ,Jarra cristal liso pequeña,1,1,1,https://atrezzovazquez.es/admin/img_prod/BYC31/BYC31(BAR31-720x540).png
46,COL31,Atrezzo colegio,Colegio  ,Cuadernos dibujo antiguos pequeños,1,1,1,https://atrezzovazquez.es/admin/img_prod/COL31/COL31-720x540.png
47,DES31,Atrezzo despacho,Despacho  Máquinas de escribir  ,Máquina de escribir antigua Underwood (mal estado),1,1,1,https://atrezzovazquez.es/admin/img_prod/DES31/DES31-720x540.png
0,BA31,Baño,Lavabo  ,Lavabo loza 2 grifos con pie,52,43,86,https://atrezzovazquez.es/admin/img_prod/BA31/BA31-1-720x540.png
1,BEB31,Bebé,,Silla plegable tubo niquelado y formica azul de niño,27,27,61,https://atrezzovazquez.es/admin/img_prod/BEB31/BEB31-1-720x540.png
2,CST31,Moda y costura,Maniquí  ,Maniquí de sastre pie madera torneada,25,150,50,https://atrezzovazquez.es/admin/img_prod/CST31/CST31-720x540.png
3,CAR31,Caja registradora,Calculadoras  Despacho  ,Calculadora con rollo grande WALTER,1,1,1,https://atrezzovazquez.es/admin/img_prod/CAR31/CAR31 (DES122)-720x540.png
